model,MAE,MSE,RMSE,R2 adjusted
RandomForestRegressor_Baseline,3.7165991594519205,189.47585173669208,13.765022765571151,0.9253721109235636
DecisionTreeRegressor_Baseline,4.08770559996812,295.562693414076,17.191936872094313,0.8721468082589279
GradientBoostingRegressor_Baseline,8.294158834756077,372.33214725695035,19.295910117352598,0.8403289831414864
LightGBMRegressor_Baseline,5.570144300306688,239.60180040998554,15.47907621306858,0.9043049514165251
RandomForestRegressor_best_params_optuna,6.8098418211025695,292.4991353109325,17.10260609705236,0.7924886711400053
DecisionTreeRegressor_best_params_optuna,14.928694112746294,939.0731787924534,30.64430091864478,0.5848486649023881
GradientBoostingRegressor_best_params_optuna,4.159242160717081,168.97659146079937,12.99909964039046,0.9388990314867602
LightGBMRegressor_best_params_optuna,6.120860379798796,256.6376982897005,16.01991567673502,0.896530155442766
